ID,Image_path,Label_Verdadeiro
115,dataset_split/dataset_split\test\healthy\963.png,healthy
116,dataset_split/dataset_split\test\healthy\964.png,healthy
117,dataset_split/dataset_split\test\healthy\965.png,healthy
118,dataset_split/dataset_split\test\healthy\966.png,healthy
119,dataset_split/dataset_split\test\healthy\967.png,healthy
120,dataset_split/dataset_split\test\healthy\968.png,healthy
121,dataset_split/dataset_split\test\healthy\969.png,healthy
122,dataset_split/dataset_split\test\healthy\970.png,healthy
123,dataset_split/dataset_split\test\healthy\971.png,healthy
124,dataset_split/dataset_split\test\healthy\972.png,healthy
125,dataset_split/dataset_split\test\healthy\973.png,healthy
126,dataset_split/dataset_split\test\healthy\974.png,healthy
127,dataset_split/dataset_split\test\healthy\975.png,healthy
128,dataset_split/dataset_split\test\healthy\976.png,healthy
129,dataset_split/dataset_split\test\healthy\977.png,healthy
130,dataset_split/dataset_split\test\healthy\978.png,healthy
131,dataset_split/dataset_split\test\healthy\979.png,healthy
132,dataset_split/dataset_split\test\healthy\980.png,healthy
133,dataset_split/dataset_split\test\healthy\981.png,healthy
134,dataset_split/dataset_split\test\healthy\982.png,healthy
135,dataset_split/dataset_split\test\healthy\983.png,healthy
136,dataset_split/dataset_split\test\healthy\984.png,healthy
137,dataset_split/dataset_split\test\healthy\985.png,healthy
138,dataset_split/dataset_split\test\healthy\986.png,healthy
139,dataset_split/dataset_split\test\healthy\987.png,healthy
140,dataset_split/dataset_split\test\healthy\988.png,healthy
141,dataset_split/dataset_split\test\healthy\989.png,healthy
142,dataset_split/dataset_split\test\healthy\990.png,healthy
143,dataset_split/dataset_split\test\healthy\991.png,healthy
144,dataset_split/dataset_split\test\healthy\992.png,healthy
145,dataset_split/dataset_split\test\healthy\993.png,healthy
146,dataset_split/dataset_split\test\healthy\994.png,healthy
147,dataset_split/dataset_split\test\healthy\995.png,healthy
148,dataset_split/dataset_split\test\healthy\996.png,healthy
149,dataset_split/dataset_split\test\healthy\997.png,healthy
150,dataset_split/dataset_split\test\healthy\998.png,healthy
151,dataset_split/dataset_split\test\healthy\999.png,healthy
152,dataset_split/dataset_split\test\mild\1315.png,mild
153,dataset_split/dataset_split\test\mild\1316.png,mild
154,dataset_split/dataset_split\test\mild\1317.png,mild
155,dataset_split/dataset_split\test\mild\1318.png,mild
156,dataset_split/dataset_split\test\mild\1319.png,mild
157,dataset_split/dataset_split\test\mild\1320.png,mild
158,dataset_split/dataset_split\test\mild\1321.png,mild
159,dataset_split/dataset_split\test\mild\1322.png,mild
160,dataset_split/dataset_split\test\mild\1323.png,mild
161,dataset_split/dataset_split\test\mild\1324.png,mild
162,dataset_split/dataset_split\test\mild\1325.png,mild
163,dataset_split/dataset_split\test\mild\1326.png,mild
164,dataset_split/dataset_split\test\mild\1327.png,mild
165,dataset_split/dataset_split\test\mild\1328.png,mild
166,dataset_split/dataset_split\test\mild\1329.png,mild
167,dataset_split/dataset_split\test\mild\1330.png,mild
168,dataset_split/dataset_split\test\mild\1331.png,mild
169,dataset_split/dataset_split\test\mild\1332.png,mild
170,dataset_split/dataset_split\test\mild\1333.png,mild
171,dataset_split/dataset_split\test\mild\1334.png,mild
172,dataset_split/dataset_split\test\mild\1335.png,mild
173,dataset_split/dataset_split\test\mild\1336.png,mild
174,dataset_split/dataset_split\test\mild\1337.png,mild
175,dataset_split/dataset_split\test\mild\1338.png,mild
176,dataset_split/dataset_split\test\mild\1339.png,mild
177,dataset_split/dataset_split\test\mild\1340.png,mild
178,dataset_split/dataset_split\test\mild\1341.png,mild
179,dataset_split/dataset_split\test\mild\1342.png,mild
180,dataset_split/dataset_split\test\mild\1343.png,mild
181,dataset_split/dataset_split\test\mild\1344.png,mild
182,dataset_split/dataset_split\test\mild\1345.png,mild
183,dataset_split/dataset_split\test\mild\1346.png,mild
184,dataset_split/dataset_split\test\mild\1347.png,mild
185,dataset_split/dataset_split\test\mild\1348.png,mild
186,dataset_split/dataset_split\test\mild\1349.png,mild
187,dataset_split/dataset_split\test\mild\1350.png,mild
188,dataset_split/dataset_split\test\mild\1351.png,mild
189,dataset_split/dataset_split\test\mild\1352.png,mild
190,dataset_split/dataset_split\test\mild\1353.png,mild
191,dataset_split/dataset_split\test\mild\1354.png,mild
192,dataset_split/dataset_split\test\mild\1355.png,mild
193,dataset_split/dataset_split\test\mild\1356.png,mild
194,dataset_split/dataset_split\test\mild\1357.png,mild
195,dataset_split/dataset_split\test\mild\1358.png,mild
196,dataset_split/dataset_split\test\mild\1359.png,mild
197,dataset_split/dataset_split\test\mild\1360.png,mild
198,dataset_split/dataset_split\test\mild\1361.png,mild
199,dataset_split/dataset_split\test\mild\1362.png,mild
200,dataset_split/dataset_split\test\mild\1363.png,mild
201,dataset_split/dataset_split\test\mild\1364.png,mild
202,dataset_split/dataset_split\test\mild\1365.png,mild
203,dataset_split/dataset_split\test\mild\1366.png,mild
204,dataset_split/dataset_split\test\mild\1367.png,mild
205,dataset_split/dataset_split\test\mild\1368.png,mild
206,dataset_split/dataset_split\test\mild\1369.png,mild
207,dataset_split/dataset_split\test\mild\1370.png,mild
208,dataset_split/dataset_split\test\moderate\2135.png,moderate
209,dataset_split/dataset_split\test\moderate\2136.png,moderate
210,dataset_split/dataset_split\test\moderate\2137.png,moderate
211,dataset_split/dataset_split\test\moderate\2138.png,moderate
212,dataset_split/dataset_split\test\moderate\2139.png,moderate
213,dataset_split/dataset_split\test\moderate\2140.png,moderate
214,dataset_split/dataset_split\test\moderate\2141.png,moderate
215,dataset_split/dataset_split\test\moderate\2142.png,moderate
216,dataset_split/dataset_split\test\moderate\2143.png,moderate
217,dataset_split/dataset_split\test\moderate\2144.png,moderate
218,dataset_split/dataset_split\test\moderate\2145.png,moderate
219,dataset_split/dataset_split\test\moderate\2146.png,moderate
220,dataset_split/dataset_split\test\moderate\2147.png,moderate
221,dataset_split/dataset_split\test\moderate\2148.png,moderate
222,dataset_split/dataset_split\test\moderate\2149.png,moderate
223,dataset_split/dataset_split\test\moderate\2150.png,moderate
224,dataset_split/dataset_split\test\moderate\2151.png,moderate
225,dataset_split/dataset_split\test\moderate\2152.png,moderate
226,dataset_split/dataset_split\test\moderate\2153.png,moderate
227,dataset_split/dataset_split\test\moderate\2154.png,moderate
228,dataset_split/dataset_split\test\moderate\2155.png,moderate
229,dataset_split/dataset_split\test\moderate\2156.png,moderate
230,dataset_split/dataset_split\test\moderate\2157.png,moderate
231,dataset_split/dataset_split\test\moderate\2158.png,moderate
232,dataset_split/dataset_split\test\moderate\2159.png,moderate
233,dataset_split/dataset_split\test\moderate\2160.png,moderate
234,dataset_split/dataset_split\test\moderate\2161.png,moderate
235,dataset_split/dataset_split\test\moderate\2162.png,moderate
236,dataset_split/dataset_split\test\moderate\2163.png,moderate
237,dataset_split/dataset_split\test\moderate\2164.png,moderate
238,dataset_split/dataset_split\test\moderate\2165.png,moderate
239,dataset_split/dataset_split\test\moderate\2166.png,moderate
240,dataset_split/dataset_split\test\moderate\2167.png,moderate
241,dataset_split/dataset_split\test\moderate\2168.png,moderate
242,dataset_split/dataset_split\test\moderate\2169.png,moderate
243,dataset_split/dataset_split\test\moderate\2170.png,moderate
244,dataset_split/dataset_split\test\moderate\2171.png,moderate
245,dataset_split/dataset_split\test\moderate\2172.png,moderate
246,dataset_split/dataset_split\test\moderate\2173.png,moderate
247,dataset_split/dataset_split\test\moderate\2174.png,moderate
248,dataset_split/dataset_split\test\moderate\2175.png,moderate
249,dataset_split/dataset_split\test\moderate\2176.png,moderate
250,dataset_split/dataset_split\test\moderate\2177.png,moderate
251,dataset_split/dataset_split\test\moderate\2178.png,moderate
252,dataset_split/dataset_split\test\moderate\2179.png,moderate
253,dataset_split/dataset_split\test\moderate\2180.png,moderate
254,dataset_split/dataset_split\test\moderate\2181.png,moderate
255,dataset_split/dataset_split\test\moderate\2182.png,moderate
256,dataset_split/dataset_split\test\moderate\2183.png,moderate
257,dataset_split/dataset_split\test\moderate\2184.png,moderate
258,dataset_split/dataset_split\test\moderate\2185.png,moderate
259,dataset_split/dataset_split\test\moderate\2186.png,moderate
260,dataset_split/dataset_split\test\moderate\2187.png,moderate
261,dataset_split/dataset_split\test\moderate\2188.png,moderate
262,dataset_split/dataset_split\test\moderate\2189.png,moderate
263,dataset_split/dataset_split\test\moderate\2190.png,moderate
264,dataset_split/dataset_split\test\moderate\2191.png,moderate
265,dataset_split/dataset_split\test\moderate\2192.png,moderate
266,dataset_split/dataset_split\test\moderate\2193.png,moderate
267,dataset_split/dataset_split\test\moderate\2194.png,moderate
268,dataset_split/dataset_split\test\moderate\2195.png,moderate
269,dataset_split/dataset_split\test\moderate\2196.png,moderate
270,dataset_split/dataset_split\test\moderate\2197.png,moderate
271,dataset_split/dataset_split\test\moderate\2198.png,moderate
272,dataset_split/dataset_split\test\moderate\2199.png,moderate
273,dataset_split/dataset_split\test\moderate\2200.png,moderate
274,dataset_split/dataset_split\test\moderate\2201.png,moderate
275,dataset_split/dataset_split\test\moderate\2202.png,moderate
276,dataset_split/dataset_split\test\moderate\2203.png,moderate
277,dataset_split/dataset_split\test\moderate\2204.png,moderate
278,dataset_split/dataset_split\test\moderate\2205.png,moderate
279,dataset_split/dataset_split\test\moderate\2206.png,moderate
280,dataset_split/dataset_split\test\moderate\2207.png,moderate
281,dataset_split/dataset_split\test\moderate\2208.png,moderate
282,dataset_split/dataset_split\test\moderate\2209.png,moderate
283,dataset_split/dataset_split\test\moderate\2210.png,moderate
284,dataset_split/dataset_split\test\moderate\2211.png,moderate
285,dataset_split/dataset_split\test\moderate\2212.png,moderate
286,dataset_split/dataset_split\test\moderate\2213.png,moderate
287,dataset_split/dataset_split\test\moderate\2214.png,moderate
288,dataset_split/dataset_split\test\moderate\2215.png,moderate
289,dataset_split/dataset_split\test\moderate\2216.png,moderate
290,dataset_split/dataset_split\test\moderate\2217.png,moderate
291,dataset_split/dataset_split\test\moderate\2218.png,moderate
292,dataset_split/dataset_split\test\moderate\2219.png,moderate
293,dataset_split/dataset_split\test\moderate\2220.png,moderate
294,dataset_split/dataset_split\test\moderate\2221.png,moderate
295,dataset_split/dataset_split\test\moderate\2222.png,moderate
296,dataset_split/dataset_split\test\moderate\2223.png,moderate
297,dataset_split/dataset_split\test\moderate\2224.png,moderate
298,dataset_split/dataset_split\test\moderate\2225.png,moderate
299,dataset_split/dataset_split\test\moderate\2226.png,moderate
300,dataset_split/dataset_split\test\moderate\2227.png,moderate
301,dataset_split/dataset_split\test\moderate\2228.png,moderate
302,dataset_split/dataset_split\test\moderate\2229.png,moderate
303,dataset_split/dataset_split\test\moderate\2230.png,moderate
304,dataset_split/dataset_split\test\moderate\2231.png,moderate
305,dataset_split/dataset_split\test\moderate\2232.png,moderate
306,dataset_split/dataset_split\test\moderate\2233.png,moderate
307,dataset_split/dataset_split\test\moderate\2234.png,moderate
308,dataset_split/dataset_split\test\moderate\2235.png,moderate
309,dataset_split/dataset_split\test\moderate\2236.png,moderate
310,dataset_split/dataset_split\test\moderate\2237.png,moderate
311,dataset_split/dataset_split\test\moderate\2238.png,moderate
312,dataset_split/dataset_split\test\moderate\2239.png,moderate
313,dataset_split/dataset_split\test\moderate\2240.png,moderate
314,dataset_split/dataset_split\test\moderate\2241.png,moderate
315,dataset_split/dataset_split\test\moderate\2242.png,moderate
316,dataset_split/dataset_split\test\moderate\2243.png,moderate
317,dataset_split/dataset_split\test\moderate\2244.png,moderate
318,dataset_split/dataset_split\test\moderate\2245.png,moderate
319,dataset_split/dataset_split\test\moderate\2246.png,moderate
320,dataset_split/dataset_split\test\moderate\2247.png,moderate
321,dataset_split/dataset_split\test\moderate\2248.png,moderate
322,dataset_split/dataset_split\test\moderate\2249.png,moderate
323,dataset_split/dataset_split\test\moderate\2250.png,moderate
324,dataset_split/dataset_split\test\moderate\2251.png,moderate
325,dataset_split/dataset_split\test\moderate\2252.png,moderate
326,dataset_split/dataset_split\test\moderate\2253.png,moderate
327,dataset_split/dataset_split\test\moderate\2254.png,moderate
328,dataset_split/dataset_split\test\moderate\2255.png,moderate
329,dataset_split/dataset_split\test\moderate\2256.png,moderate
330,dataset_split/dataset_split\test\moderate\2257.png,moderate
331,dataset_split/dataset_split\test\moderate\2258.png,moderate
332,dataset_split/dataset_split\test\moderate\2259.png,moderate
333,dataset_split/dataset_split\test\moderate\2260.png,moderate
334,dataset_split/dataset_split\test\moderate\2261.png,moderate
335,dataset_split/dataset_split\test\moderate\2262.png,moderate
336,dataset_split/dataset_split\test\moderate\2263.png,moderate
337,dataset_split/dataset_split\test\moderate\2264.png,moderate
338,dataset_split/dataset_split\test\moderate\2265.png,moderate
339,dataset_split/dataset_split\test\moderate\2266.png,moderate
340,dataset_split/dataset_split\test\moderate\2267.png,moderate
341,dataset_split/dataset_split\test\moderate\2268.png,moderate
342,dataset_split/dataset_split\test\moderate\2269.png,moderate
343,dataset_split/dataset_split\test\moderate\2270.png,moderate
344,dataset_split/dataset_split\test\proliferate\2517.png,proliferate
345,dataset_split/dataset_split\test\proliferate\2518.png,proliferate
346,dataset_split/dataset_split\test\proliferate\2519.png,proliferate
347,dataset_split/dataset_split\test\proliferate\2520.png,proliferate
348,dataset_split/dataset_split\test\proliferate\2521.png,proliferate
349,dataset_split/dataset_split\test\proliferate\2522.png,proliferate
350,dataset_split/dataset_split\test\proliferate\2523.png,proliferate
351,dataset_split/dataset_split\test\proliferate\2524.png,proliferate
352,dataset_split/dataset_split\test\proliferate\2525.png,proliferate
353,dataset_split/dataset_split\test\proliferate\2526.png,proliferate
354,dataset_split/dataset_split\test\proliferate\2527.png,proliferate
355,dataset_split/dataset_split\test\proliferate\2528.png,proliferate
356,dataset_split/dataset_split\test\proliferate\2529.png,proliferate
357,dataset_split/dataset_split\test\proliferate\2530.png,proliferate
358,dataset_split/dataset_split\test\proliferate\2531.png,proliferate
359,dataset_split/dataset_split\test\proliferate\2532.png,proliferate
360,dataset_split/dataset_split\test\proliferate\2533.png,proliferate
361,dataset_split/dataset_split\test\proliferate\2534.png,proliferate
362,dataset_split/dataset_split\test\proliferate\2535.png,proliferate
363,dataset_split/dataset_split\test\proliferate\2536.png,proliferate
364,dataset_split/dataset_split\test\proliferate\2537.png,proliferate
365,dataset_split/dataset_split\test\proliferate\2538.png,proliferate
366,dataset_split/dataset_split\test\proliferate\2539.png,proliferate
367,dataset_split/dataset_split\test\proliferate\2540.png,proliferate
368,dataset_split/dataset_split\test\proliferate\2541.png,proliferate
369,dataset_split/dataset_split\test\proliferate\2542.png,proliferate
370,dataset_split/dataset_split\test\proliferate\2543.png,proliferate
371,dataset_split/dataset_split\test\proliferate\2544.png,proliferate
372,dataset_split/dataset_split\test\proliferate\2545.png,proliferate
373,dataset_split/dataset_split\test\proliferate\2546.png,proliferate
374,dataset_split/dataset_split\test\proliferate\2547.png,proliferate
375,dataset_split/dataset_split\test\proliferate\2548.png,proliferate
376,dataset_split/dataset_split\test\proliferate\2549.png,proliferate
377,dataset_split/dataset_split\test\proliferate\2550.png,proliferate
378,dataset_split/dataset_split\test\proliferate\2551.png,proliferate
379,dataset_split/dataset_split\test\proliferate\2552.png,proliferate
380,dataset_split/dataset_split\test\proliferate\2553.png,proliferate
381,dataset_split/dataset_split\test\proliferate\2554.png,proliferate
382,dataset_split/dataset_split\test\proliferate\2555.png,proliferate
383,dataset_split/dataset_split\test\proliferate\2556.png,proliferate
384,dataset_split/dataset_split\test\proliferate\2557.png,proliferate
385,dataset_split/dataset_split\test\proliferate\2558.png,proliferate
386,dataset_split/dataset_split\test\proliferate\2559.png,proliferate
387,dataset_split/dataset_split\test\proliferate\2560.png,proliferate
388,dataset_split/dataset_split\test\severe\2722.png,severe
389,dataset_split/dataset_split\test\severe\2723.png,severe
390,dataset_split/dataset_split\test\severe\2724.png,severe
391,dataset_split/dataset_split\test\severe\2725.png,severe
392,dataset_split/dataset_split\test\severe\2726.png,severe
393,dataset_split/dataset_split\test\severe\2727.png,severe
394,dataset_split/dataset_split\test\severe\2728.png,severe
395,dataset_split/dataset_split\test\severe\2729.png,severe
396,dataset_split/dataset_split\test\severe\2730.png,severe
397,dataset_split/dataset_split\test\severe\2731.png,severe
398,dataset_split/dataset_split\test\severe\2732.png,severe
399,dataset_split/dataset_split\test\severe\2733.png,severe
400,dataset_split/dataset_split\test\severe\2734.png,severe
401,dataset_split/dataset_split\test\severe\2735.png,severe
402,dataset_split/dataset_split\test\severe\2736.png,severe
403,dataset_split/dataset_split\test\severe\2737.png,severe
404,dataset_split/dataset_split\test\severe\2738.png,severe
405,dataset_split/dataset_split\test\severe\2739.png,severe
406,dataset_split/dataset_split\test\severe\2740.png,severe
407,dataset_split/dataset_split\test\severe\2741.png,severe
408,dataset_split/dataset_split\test\severe\2742.png,severe
409,dataset_split/dataset_split\test\severe\2743.png,severe
410,dataset_split/dataset_split\test\severe\2744.png,severe
411,dataset_split/dataset_split\test\severe\2745.png,severe
412,dataset_split/dataset_split\test\severe\2746.png,severe
413,dataset_split/dataset_split\test\severe\2747.png,severe
414,dataset_split/dataset_split\test\severe\2748.png,severe
415,dataset_split/dataset_split\test\severe\2749.png,severe
416,dataset_split/dataset_split\test\severe\2750.png,severe
